Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Typology,,Value,CV (%)
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,50,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS, (D),
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,FAIRFIELD,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,9,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - ACRES OPERATED,"6,068",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - NUMBER OF OPERATIONS,42,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"2,025",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,22,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"2,256",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,28,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"6,665",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,112,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"4,290",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,116,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"10,323",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,287,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"7,427",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,143,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"14,450",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,HARTFORD,3,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,40,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - ACRES OPERATED,"11,779",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - NUMBER OF OPERATIONS,51,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"4,068",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,10,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"5,974",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,29,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"16,338",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,163,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"8,667",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,147,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"19,390",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,368,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"14,006",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,198,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"7,190",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,LITCHFIELD,5,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,13,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - ACRES OPERATED,"1,123",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - NUMBER OF OPERATIONS,24,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,23,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,4,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS, (D),
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,8,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"2,828",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,59,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"1,555",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,69,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"4,537",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,147,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"3,237",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,72,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS, (D),
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,MIDDLESEX,7,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,10,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - ACRES OPERATED,"5,792",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - NUMBER OF OPERATIONS,36,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"1,084",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,9,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"4,325",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,23,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"9,642",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,115,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"2,265",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,76,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"4,456",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,185,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"5,081",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,101,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"13,039",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW HAVEN,9,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,28,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - ACRES OPERATED,"2,599",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - NUMBER OF OPERATIONS,27,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"1,988",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,11,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"3,905",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,22,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"9,283",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,111,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"8,634",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,133,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"13,626",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,297,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"12,135",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,175,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"11,210",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,NEW LONDON,11,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,17,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - ACRES OPERATED,"6,012",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - NUMBER OF OPERATIONS,26,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"1,793",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,7,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"1,164",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,6,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"6,137",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,75,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"3,151",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,60,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"6,747",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,181,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"6,645",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,117,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"7,685",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,TOLLAND,13,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,12,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - ACRES OPERATED,"2,579",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - NUMBER OF OPERATIONS,11,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"3,297",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,15,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"1,795",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,12,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"9,833",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,103,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"8,116",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,98,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"13,908",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,235,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"10,803",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,104,
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,"9,805",
CENSUS,2007,YEAR,,COUNTY,CONNECTICUT,9,ALL COUNTIES,10,WINDHAM,15,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, FAMILY FARMS,16,
CENSUS,2007,YEAR,,COUNTY,MASSACHUSETTS,25,ALL COUNTIES,10,BARNSTABLE,1,,,0,,FARM OPERATIONS,FARM OPERATIONS, TYPOLOGY, (EXCL FAMILY FARMS) - ACRES OPERATED,673,
